,acc_csp-lda,kappa_csp-lda,delta_acc_vs_ea-csp-lda_csp-lda,acc_ea-csp-lda,kappa_ea-csp-lda,delta_acc_vs_ea-csp-lda_ea-csp-lda,acc_rpa-csp-lda,kappa_rpa-csp-lda,delta_acc_vs_ea-csp-lda_rpa-csp-lda,acc_tsa-csp-lda,kappa_tsa-csp-lda,delta_acc_vs_ea-csp-lda_tsa-csp-lda,acc_ea-stack-multi-safe-csp-lda,kappa_ea-stack-multi-safe-csp-lda,delta_acc_vs_ea-csp-lda_ea-stack-multi-safe-csp-lda
1,0.496875,0.3291666666666667,-0.07812499999999994,0.575,0.43333333333333335,0.0,0.45625,0.275,-0.11874999999999997,0.475,0.30000000000000004,-0.09999999999999998,0.575,0.43333333333333335,0.0
2,0.2607626076260763,0.01625571033669093,-0.24354243542435428,0.5043050430504306,0.33890435835351096,0.0,0.42558425584255843,0.23371082231510887,-0.07872078720787212,0.24354243542435425,-0.008332946801838714,-0.2607626076260763,0.5043050430504306,0.33890435835351096,0.0
3,0.42159090909090907,0.22878787878787876,-0.14090909090909093,0.5625,0.41666666666666663,0.0,0.5568181818181818,0.40909090909090906,-0.005681818181818232,0.525,0.3666666666666667,-0.03749999999999998,0.5625,0.41666666666666663,0.0
4,0.25195094760312153,0.002910655949533214,-0.4437012263099219,0.6956521739130435,0.5942743342451409,0.0,0.5484949832775919,0.39808333070995294,-0.14715719063545152,0.4793756967670011,0.30580464046427847,-0.21627647714604237,0.6956521739130435,0.5942743342451409,0.0
5,0.5111111111111111,0.3481481481481481,-0.0805555555555556,0.5916666666666667,0.4555555555555556,0.0,0.5361111111111111,0.38148148148148153,-0.05555555555555558,0.5541666666666667,0.40555555555555556,-0.03749999999999998,0.5916666666666667,0.4555555555555556,0.0
6,0.26136363636363635,0.015151515151515138,-0.17272727272727273,0.4340909090909091,0.24545454545454548,0.0,0.4238636363636364,0.2318181818181818,-0.010227272727272696,0.2318181818181818,-0.024242424242424176,-0.20227272727272727,0.4340909090909091,0.24545454545454548,0.0
7,0.5011363636363636,0.33484848484848484,-0.04886363636363644,0.55,0.4,0.0,0.45340909090909093,0.27121212121212124,-0.09659090909090912,0.3386363636363636,0.11818181818181817,-0.21136363636363642,0.55,0.4,0.0
8,0.4694189602446483,0.2930192276539272,-0.29204892966360857,0.7614678899082569,0.681942314167072,0.0,0.599388379204893,0.4659593831423834,-0.1620795107033639,0.3516819571865443,0.13644276554067314,-0.40978593272171254,0.7614678899082569,0.681942314167072,0.0
9,0.25227272727272726,0.00303030303030305,-0.10454545454545455,0.3568181818181818,0.14242424242424245,0.0,0.32386363636363635,0.09848484848484851,-0.03295454545454546,0.25,0.0,-0.10681818181818181,0.25,0.0,-0.10681818181818181
10,0.4318181818181818,0.24242424242424243,-0.1556818181818182,0.5875,0.44999999999999996,0.0,0.46704545454545454,0.2893939393939394,-0.12045454545454548,0.43977272727272726,0.25303030303030305,-0.14772727272727276,0.5875,0.44999999999999996,0.0
11,0.25,0.0,-0.23863636363636365,0.48863636363636365,0.31818181818181823,0.0,0.4715909090909091,0.2954545454545454,-0.01704545454545453,0.3977272727272727,0.19696969696969702,-0.09090909090909094,0.48863636363636365,0.31818181818181823,0.0
12,0.7897727272727273,0.7196969696969697,-0.018181818181818188,0.8079545454545455,0.7439393939393939,0.0,0.7147727272727272,0.6196969696969696,-0.09318181818181825,0.6272727272727273,0.503030303030303,-0.18068181818181817,0.8079545454545455,0.7439393939393939,0.0
13,0.275,0.033333333333333326,-0.275,0.55,0.4,0.0,0.52625,0.3683333333333333,-0.02375000000000005,0.415,0.21999999999999997,-0.13500000000000006,0.55,0.4,0.0
14,0.5806818181818182,0.4409090909090909,-0.13522727272727275,0.7159090909090909,0.6212121212121212,0.0,0.5647727272727273,0.4196969696969697,-0.15113636363636362,0.41704545454545455,0.22272727272727277,-0.2988636363636364,0.7159090909090909,0.6212121212121212,0.0
