,acc_ea-csp-lda,kappa_ea-csp-lda,delta_acc_vs_ea-csp-lda_ea-csp-lda,acc_ea-stack-multi-safe-csp-lda,kappa_ea-stack-multi-safe-csp-lda,delta_acc_vs_ea-csp-lda_ea-stack-multi-safe-csp-lda
1,0.575,0.43333333333333335,0.0,0.575,0.43333333333333335,0.0
2,0.5043050430504306,0.33890435835351096,0.0,0.5043050430504306,0.33890435835351096,0.0
3,0.5625,0.41666666666666663,0.0,0.5625,0.41666666666666663,0.0
4,0.6956521739130435,0.5942743342451409,0.0,0.6956521739130435,0.5942743342451409,0.0
5,0.5916666666666667,0.4555555555555556,0.0,0.5916666666666667,0.4555555555555556,0.0
6,0.4340909090909091,0.24545454545454548,0.0,0.4340909090909091,0.24545454545454548,0.0
7,0.55,0.4,0.0,0.55,0.4,0.0
8,0.7614678899082569,0.681942314167072,0.0,0.7614678899082569,0.681942314167072,0.0
9,0.3568181818181818,0.14242424242424245,0.0,0.3568181818181818,0.14242424242424245,0.0
10,0.5875,0.44999999999999996,0.0,0.5875,0.44999999999999996,0.0
11,0.48863636363636365,0.31818181818181823,0.0,0.48863636363636365,0.31818181818181823,0.0
12,0.8079545454545455,0.7439393939393939,0.0,0.8079545454545455,0.7439393939393939,0.0
13,0.55,0.4,0.0,0.55,0.4,0.0
14,0.7159090909090909,0.6212121212121212,0.0,0.7159090909090909,0.6212121212121212,0.0
