subject,global_min_pred_improve,accept,selected_family,selected_acc,anchor_acc,delta_acc,oracle_acc
1,0.0,1,chan,0.7048611111111112,0.6875,0.01736111111111116,0.7048611111111112
2,0.0,1,chan,0.2534722222222222,0.2569444444444444,-0.00347222222222221,0.2881944444444444
3,0.0,1,chan,0.8020833333333334,0.75,0.05208333333333337,0.8020833333333334
4,0.0,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.0,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.0,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.0,1,chan,0.59375,0.5729166666666666,0.02083333333333337,0.6006944444444444
8,0.0,1,chan,0.75,0.71875,0.03125,0.75
9,0.0,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.005,0,ea,0.6875,0.6875,0.0,0.6875
2,0.005,1,chan,0.2534722222222222,0.2569444444444444,-0.00347222222222221,0.2881944444444444
3,0.005,1,chan,0.8020833333333334,0.75,0.05208333333333337,0.8020833333333334
4,0.005,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.005,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.005,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.005,1,chan,0.59375,0.5729166666666666,0.02083333333333337,0.6006944444444444
8,0.005,1,chan,0.75,0.71875,0.03125,0.75
9,0.005,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.01,0,ea,0.6875,0.6875,0.0,0.6875
2,0.01,1,chan,0.2534722222222222,0.2569444444444444,-0.00347222222222221,0.2881944444444444
3,0.01,1,chan,0.8020833333333334,0.75,0.05208333333333337,0.8020833333333334
4,0.01,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.01,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.01,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.01,1,chan,0.59375,0.5729166666666666,0.02083333333333337,0.6006944444444444
8,0.01,1,chan,0.75,0.71875,0.03125,0.75
9,0.01,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.015,0,ea,0.6875,0.6875,0.0,0.6875
2,0.015,1,chan,0.2534722222222222,0.2569444444444444,-0.00347222222222221,0.2881944444444444
3,0.015,1,chan,0.8020833333333334,0.75,0.05208333333333337,0.8020833333333334
4,0.015,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.015,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.015,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.015,1,chan,0.59375,0.5729166666666666,0.02083333333333337,0.6006944444444444
8,0.015,1,chan,0.75,0.71875,0.03125,0.75
9,0.015,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.02,0,ea,0.6875,0.6875,0.0,0.6875
2,0.02,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.02,1,chan,0.8020833333333334,0.75,0.05208333333333337,0.8020833333333334
4,0.02,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.02,1,rpa,0.3402777777777778,0.3090277777777778,0.03125,0.3402777777777778
6,0.02,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.02,1,chan,0.59375,0.5729166666666666,0.02083333333333337,0.6006944444444444
8,0.02,1,chan,0.75,0.71875,0.03125,0.75
9,0.02,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.03,0,ea,0.6875,0.6875,0.0,0.6875
2,0.03,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.03,1,chan,0.8020833333333334,0.75,0.05208333333333337,0.8020833333333334
4,0.03,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.03,0,ea,0.3090277777777778,0.3090277777777778,0.0,0.3090277777777778
6,0.03,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.03,1,chan,0.59375,0.5729166666666666,0.02083333333333337,0.6006944444444444
8,0.03,1,chan,0.75,0.71875,0.03125,0.75
9,0.03,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.05,0,ea,0.6875,0.6875,0.0,0.6875
2,0.05,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.05,0,ea,0.75,0.75,0.0,0.75
4,0.05,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.05,0,ea,0.3090277777777778,0.3090277777777778,0.0,0.3090277777777778
6,0.05,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.05,0,ea,0.5729166666666666,0.5729166666666666,0.0,0.5729166666666666
8,0.05,0,ea,0.71875,0.71875,0.0,0.71875
9,0.05,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
1,0.08,0,ea,0.6875,0.6875,0.0,0.6875
2,0.08,0,ea,0.2569444444444444,0.2569444444444444,0.0,0.2569444444444444
3,0.08,0,ea,0.75,0.75,0.0,0.75
4,0.08,0,ea,0.4513888888888889,0.4513888888888889,0.0,0.4513888888888889
5,0.08,0,ea,0.3090277777777778,0.3090277777777778,0.0,0.3090277777777778
6,0.08,0,ea,0.3576388888888889,0.3576388888888889,0.0,0.3576388888888889
7,0.08,0,ea,0.5729166666666666,0.5729166666666666,0.0,0.5729166666666666
8,0.08,0,ea,0.71875,0.71875,0.0,0.71875
9,0.08,0,ea,0.6840277777777778,0.6840277777777778,0.0,0.6840277777777778
